producto,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Lata Coca linea (Cerveza),0,0,0,0,0,0,0,0.625,2.5,1.25,3.0,3.25,0,3.25,3.25,0,0,1.875,3.75,1.875,1.0,4.0,1.3333333333333333,2.0,4.0,2.25,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,1.1666666666666667,0.5833333333333334,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2.5,5.0,5.0,5.5,5.5,5.5,6.0,6.0,6.0,3.0,3.25,6.5,6.5,6.5,7.0,7.0,3.5,8.0,8.0,8.0,0.4444444444444444,8.0,8.0,8.0,0.2222222222222222,0
Coca 2250cc desc,0,0,0,0,0,0,4.0,2.0,4.0,4.25,4.25,2.25,1.125,4.5,4.75,4.75,2.5,2.5,5.25,5.25,5.25,5.25,5.25,5.5,2.875,5.75,6.0,3.0,3.0,2.0,6.25,6.25,6.5,0,0,0,0,0,0,7.0,0,0,0,0,0,8.0,4.0,2.125,8.5,8.5,8.75,4.375,4.75,9.5,9.75,9.75,10.0,10.0,11.0,10.75,10.75,5.375,11.0,11.5,11.5,12.0,12.0,12.0,12.0,12.0,6.25,12.5,12.5,12.5,13.0,6.5,13.5,2.3333333333333335,15.0,15.0,15.0,16.0,17.0,3.0,18.0,19.0,19.0,20.0,10.0,2.625,22.0,22.0,24.0,24.0,24.0,13.0,13.0,26.0,13.0,15.0,30.0,30.0,5.0,30.0,30.0,32.0,10.666666666666666,0
Coca 2l ret (Coca 2l),0,0,0,0,0,0,1.5499999523,1.625,3.25,1.625,3.5,0.875,3.5,3.5,3.75,1.875,4.0,1.3333333333333333,4.25,4.25,4.25,4.5,4.5,4.5,4.5,4.5,4.5,4.75,0.59375,2.375,2.5,5.0,5.0,0,0,0,0,0,0,5.75,0,0,0,0,0,6.5,6.5,6.5,6.5,6.5,6.75,6.75,7.0,7.0,7.5,7.75,7.75,1.0,8.0,8.25,8.25,8.25,8.5,8.5,8.5,9.0,9.0,9.0,9.5,9.5,10.0,5.0,10.0,10.0,10.5,11.0,11.0,11.0,3.6666666666666665,11.0,11.0,12.0,6.0,13.0,13.0,13.0,6.5,15.0,1.875,16.0,16.0,16.0,17.0,17.0,17.0,18.0,0.75,9.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2.5,0
Coca light 2l ret (Coca 2l),0,0,0,0,0,0,3.0999999046,3.25,3.25,3.25,3.5,3.5,1.75,3.5,3.75,3.75,2.0,4.0,4.25,4.25,4.25,4.5,4.5,2.375,4.75,4.75,4.75,4.75,4.75,2.375,5.0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,6.5,6.5,6.5,6.5,3.25,3.375,6.75,7.25,7.25,7.5,8.0,8.0,8.25,8.25,8.25,8.5,8.5,8.5,9.0,9.0,9.0,9.5,9.5,10.0,5.0,10.0,10.0,10.5,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,8.5,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0
Coca 2500 cc ret GRANDE NUEVA,0,0,0,0,0,0,0,3.0,3.0,3.0,3.0,0,3.0,0,0,0,4.0,4.0,4.25,4.25,1.0,2.625,5.25,2.875,1.15,5.75,6.0,6.0,6.0,6.0,6.25,2.0833333333333335,6.25,0,0,0,0,0,0,2.3333333333333335,0,0,0,0,0,7.75,7.75,7.75,3.875,7.75,8.5,8.5,8.75,8.75,9.0,9.0,9.0,9.5,9.5,9.75,9.75,9.75,3.3333333333333335,2.5,10.0,11.0,5.5,11.0,11.5,11.5,12.0,6.0,12.0,12.0,12.5,13.0,13.0,13.0,13.0,4.333333333333333,13.0,15.0,15.0,15.0,7.5,16.0,16.0,18.0,18.0,10.0,10.0,20.0,21.0,21.0,21.0,11.0,22.0,11.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0
Coca 1500 c.c. desc,0,0,0,0,0,0,3.0999999046,3.25,0.5416666666666666,3.25,3.25,3.25,3.25,3.75,3.75,3.75,4.0,4.0,4.25,4.25,4.25,4.5,4.5,4.75,4.75,4.75,5.0,5.0,5.0,5.0,5.25,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,3.375,6.75,6.75,7.0,7.5,7.75,7.75,8.25,8.25,8.25,8.5,4.5,9.25,1.5833333333333333,9.5,9.5,10.0,10.0,10.5,10.5,10.5,10.5,5.25,11.0,5.5,11.0,11.0,11.5,11.5,12.0,12.5,12.5,13.0,13.5,13.5,14.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,20.0,3.3333333333333335,10.0,20.0,20.0,20.0,22.0,11.0,0
Coca vidrio (Coca 1 1/4 l),0,0,0,0,0,0,2.0999999046,2.0999999046,2.0999999046,2.0999999046,2.25,0.5625,2.25,2.25,2.25,1.125,2.25,2.25,2.25,2.25,1.125,2.25,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.0,4.0,1.3333333333333333,4.0,4.5,4.5,4.75,4.75,5.0,0.625,5.0,1.25,5.0,2.625,5.5,5.5,5.5,1.4375,6.0,1.5,6.0,6.0,6.75,7.0,7.0,7.0,7.0,7.0,3.5,7.0,7.5,7.5,1.0,8.0,8.0,8.0,8.0,4.0,8.0,8.5,8.5,10.0,3.3333333333333335,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,15.0,15.0,7.5,15.0,0.7894736842105263,0
Coca 500 c.c desc,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.25,2.25,2.25,2.25,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,1.1666666666666667,3.5,3.5,3.5,3.75,3.75,3.75,3.7799999714,3.75,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.5,2.25,4.5,4.75,4.75,4.75,4.75,4.75,4.75,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,0.5833333333333334,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,0.2777777777777778,0.8333333333333334,10.0,10.0,0.2777777777777778,0
Coca 1 lt,0,0,0,0,0,0,2.2999999523,2.2999999523,2.6500000954,2.6500000954,2.6500000954,1.375,2.75,2.75,2.75,2.75,3.0,3.0,3.0,3.25,3.25,3.5,3.5,3.75,3.75,0.625,4.0,4.0,4.0,4.0,4.25,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.75,4.75,4.75,5.0,5.5,5.75,5.75,5.75,6.25,6.25,0,0,0,0,0,0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.5,9.5,9.5,10.0,10.0,0,0,0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,0.7222222222222222,13.0,13.0,13.0,15.0,15.0,0,15.0,15.0,16.0,16.0,0
Coquitas,0,0,0,0,0,0,0.75,1.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.75,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,2.25,2.25,2.25,2.25,2.25,2.5,2.5,2.25,2.25,1.125,2.25,2.25,2.25,2.25,2.5,2.5,2.5,2.5,2.75,2.75,2.75,1.375,2.75,3.0,3.0,1.5,3.0,3.0,3.0,1.75,3.5,3.5,3.5,0.875,3.5,3.5,3.5,1.75,3.5,3.5,3.5,4.0,4.0,2.0,4.5,1.125,2.25,5.0,5.0,5.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,0
Fanta 2250cc desc,0,0,0,0,0,0,3.5,3.5,3.75,3.75,4.0,4.0,4.0,4.25,4.25,4.5,4.5,4.5,4.75,4.75,4.75,5.0,5.0,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.5,7.5,7.5,8.0,8.0,8.5,8.5,8.75,9.0,9.0,0,0,9.75,10.0,10.0,10.0,10.5,10.5,11.0,11.0,11.0,11.0,11.0,11.5,12.0,12.0,12.0,13.0,12.0,4.333333333333333,13.5,14.5,15.0,15.5,15.0,17.0,17.0,17.0,17.0,18.0,19.0,21.0,22.0,22.0,22.0,24.0,24.0,12.0,13.0,26.0,26.0,26.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0,0
Beldent INFINIT x14,0,0,0,0,0,0,2.5999999046,2.5999999046,0,2.5999999046,2.5999999046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,0,0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanta 2l ret (Fanta 2l),0,0,0,0,0,0,2.7999999523,2.7999999523,2.7999999523,2.9000000954,3.0,3.0,3.5,3.5,3.5,3.5,3.75,3.75,4.0,4.0,4.0,2.125,4.25,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.0,0.8571428571428571,6.0,6.0,6.0,6.0,6.5,6.5,6.75,6.75,7.0,7.5,7.0,7.25,7.5,7.5,7.5,7.5,7.5,8.0,8.0,8.0,8.5,8.5,8.5,9.0,9.0,9.0,9.5,10.0,10.5,10.5,10.5,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0
Fanta vidrio (Fanta 1 1/4l),0,0,0,0,0,0,2.0999999046,2.0999999046,2.0999999046,2.0999999046,2.25,2.25,1.125,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,0,0,4.5,4.5,4.75,4.75,4.75,5.0,5.0,5.0,5.0,5.25,5.5,5.5,5.5,0,6.0,6.0,6.0,6.0,6.5,7.0,0,7.0,7.0,0,0,7.0,7.5,7.5,0,8.0,8.0,8.0,8.0,2.0,8.0,8.5,8.5,9.0,10.0,2.75,2.75,11.0,11.0,5.5,11.0,12.0,1.5,12.0,12.0,3.25,13.0,13.0,15.0,15.0,15.0,15.0,15.0,0
Coca zero 1500cc desc,0,0,0,0,0,0,2.75,2.75,2.75,2.75,3.0,3.25,3.25,3.2999999523,3.2999999523,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.25,2.125,4.25,4.25,4.25,4.25,4.25,4.25,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,3.0,6.0,1.0,6.5,6.5,6.5,6.5,6.75,3.5,7.5,7.75,7.75,4.625,9.5,9.5,2.375,10.0,10.0,10.5,10.5,10.5,10.5,10.5,11.0,11.0,11.0,11.0,11.5,11.5,12.0,12.5,12.5,13.0,13.5,13.5,14.0,14.0,14.0,14.0,14.0,7.5,15.0,16.0,16.0,16.0,17.0,8.5,17.0,3.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,22.0,11.0,0
Sprite 2250cc desc,0,0,0,0,0,0,3.75,1.875,3.75,4.0,4.25,4.25,4.25,4.3000001907,4.3000001907,4.5,4.75,4.75,4.75,4.75,4.75,5.0,5.0,5.25,2.75,5.5,5.5,5.5,5.5,5.5,5.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.5,7.75,7.75,7.75,8.5,8.5,8.75,8.75,9.0,9.5,9.5,9.5,10.0,10.5,10.5,10.5,10.5,11.0,11.0,11.5,11.5,11.5,11.5,11.5,12.0,12.0,4.0,12.0,12.5,12.5,13.0,2.25,14.0,15.0,15.5,15.0,8.5,17.0,17.0,18.0,9.0,19.0,21.0,22.0,22.0,22.0,24.0,24.0,24.0,26.0,26.0,26.0,26.0,28.0,14.0,28.0,28.0,5.0,30.0,30.0,30.0,0
Sprite 2l ret y zero 2l ret (Sprite 2l),0,0,0,0,0,0,3.0,1.5,3.0,3.0,1.625,3.25,3.5,3.5,3.5,1.75,4.0,4.0,4.0,4.0,4.0,4.25,4.25,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,7.0,7.0,7.0,7.5,7.0,7.25,7.5,7.5,7.5,7.5,7.5,8.0,8.0,8.0,8.5,8.5,9.0,9.0,9.0,9.0,9.5,10.0,10.5,10.5,10.5,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,15.0,15.0,8.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0
