producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Tabaco Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,1.25,0,5.0,5.0,0,5.0,0,0,0,0,0,0,6.0,9.0,4.5,9.0,0,10.0,10.0,0,0
Next 10,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,0.75,1.7000000477,1.7000000477,1.75,1.75,1.75,1.8999999762,1.8999999762,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.75,2.75,2.75,2.75,3.0,2.75,2.75,2.75,2.75,3.0,3.0,3.0,3.0,3.25,3.25,3.25,3.25,3.5,3.5,3.75,3.75,3.75,3.75,4.75,4.0,4.0,4.25,4.25,4.25,4.25,4.25,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aberdeen Angus Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parisienes 20 box,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,7.75,15.5,17.5,17.5,8.75,17.5,0,0,0,0,22.0,25.0,24.0,24.0,26.0,26.0,13.0,0
Marlboro 20 gold,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,3.75,15.0,15.0,15.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,7.0,7.0,7.0,7.0,7.25,7.25,7.25,7.25,7.25,8.0,8.0,8.0,8.0,0,8.75,8.75,8.75,9.0,9.0,9.5,9.5,9.5,0,5.0,10.0,10.0,10.0,0,10.5,0,10.5,0,0,11.5,11.5,0,12.5,0,0,15.5,15.5,0,0,0,0,0,0,0,20.0,0,0,0,0,24.0,0,0,26.0,0,0
Viceroy 20 box,0,0,0,0,0,0,0,0,0,2.9000000954,3.0,1.5,3.25,3.25,3.25,3.5,3.5,3.5,3.5,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,4.75,4.75,2.375,4.75,4.75,5.25,5.25,5.25,5.25,5.25,5.25,0,5.25,5.75,5.75,5.75,5.75,5.75,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,7.0,7.0,0,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,12.25,12.25,12.25,13.5,13.5,13.5,0,0,0,0,0,0,0,0,0,20.0,20.0,0,0,0
Viceroy 20 suaves,0,0,0,0,0,0,0,2.75,2.75,2.9000000954,2.9000000954,2.9000000954,1.4500000477,3.0999999046,3.0999999046,3.25,1.625,3.25,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,2.25,5.0,5.0,5.0,5.0,5.0,5.0,2.5,2.5,5.0,5.25,5.25,5.25,5.25,5.75,5.5,5.5,5.5,2.75,5.5,5.5,6.0,6.0,6.0,6.5,3.25,6.5,6.5,0,0,7.0,7.0,7.0,3.875,7.75,7.75,7.75,8.75,8.75,0,0,0,0,13.0,13.0,0,13.0,15.0,0,15.0,0,0,0,0,19.0,0,0,0,0,0
Lucky Strike 10,0,0,0,0,0,0,0,2.0999999046,2.0999999046,2.25,2.25,2.25,2.5,2.5,2.5,2.5999999046,2.5999999046,2.5999999046,2.5999999046,2.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.5,3.5,3.75,3.75,3.75,3.75,4.0,4.0,4.0,4.0,4.0,4.25,4.25,4.25,4.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.25,5.25,5.25,5.5,5.5,5.5,2.75,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,8.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,0
Lucky strike 20 box,0,0,0,0,0,0,0,4.1999998093,4.1999998093,2.2000000477,4.4000000954,4.4000000954,4.75,4.75,4.75,5.0,5.0,5.0,5.0,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,6.5,6.5,7.0,7.0,7.0,7.0,0,7.25,7.25,3.625,7.25,8.0,8.0,8.0,8.0,8.75,8.75,8.75,8.75,8.75,9.0,9.0,9.5,9.5,9.5,10.0,10.0,10.0,10.0,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,11.5,12.5,12.5,12.5,15.5,15.5,15.5,17.5,17.5,17.5,17.5,20.0,20.0,20.0,22.0,22.0,22.0,22.0,24.0,24.0,26.0,26.0,0,0
Milenio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
